RANKING IDHM 2010,CD_GEOCODM,MUNICÍPIO,ESTADO,IDHM 2010,IDHM RENDA 2010,IDHM LONGEVIDADE 2010,IDHM EDUCAÇÃO 2010,MERGE,,MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
5390,270380,JOAQUIM GOMES,AL,"0,531","0,509","0,764","0,386",AL-JOAQUIM GOMES,1,AL-JOAQUIM GOMES,1691,270380, AL,JOAQUIM GOMES,JOAQUIM GOMES,-35.784354,-9.0566172
5002,270390,JUNDIÁ,AL,"0,562","0,573","0,715","0,434",AL-JUNDIÁ,1,AL-JUNDIÁ,1692,270390, AL,JUNDIÁ,JUNDIÁ,-47.0432339,-23.1464153
4742,270400,JUNQUEIRO,AL,"0,575","0,586","0,714","0,454",AL-JUNQUEIRO,1,AL-JUNQUEIRO,1693,270400, AL,JUNQUEIRO,JUNQUEIRO,-36.4762172,-9.9229874
5169,270410,LAGOA DA CANOA,AL,"0,552","0,541","0,703","0,443",AL-LAGOA DA CANOA,1,AL-LAGOA DA CANOA,1694,270410, AL,LAGOA DA CANOA,LAGOA DA CANOA,-36.7363876,-9.830487
4638,270420,LIMOEIRO DE ANADIA,AL,"0,580","0,575","0,742","0,457",AL-LIMOEIRO DE ANADIA,1,AL-LIMOEIRO DE ANADIA,1695,270420, AL,LIMOEIRO DE ANADIA,LIMOEIRO DE ANADIA,-36.5020956,-9.7381888
1266,270430,MACEIÓ,AL,"0,721","0,739","0,799","0,635",AL-MACEIÓ,1,AL-MACEIÓ,1696,270430, AL,MACEIÓ,MACEIÓ,-35.7089492,-9.6498487
4921,270440,MAJOR ISIDORO,AL,"0,566","0,566","0,755","0,424",AL-MAJOR ISIDORO,1,AL-MAJOR ISIDORO,1697,270440, AL,MAJOR ISIDORO,MAJOR ISIDORO,-37.0185617,-9.5237236
4695,270490,MAR VERMELHO,AL,"0,577","0,540","0,766","0,465",AL-MAR VERMELHO,1,AL-MAR VERMELHO,1702,270490, AL,MAR VERMELHO,MAR VERMELHO,38.512573,20.280232
4764,270450,MARAGOGI,AL,"0,574","0,556","0,766","0,443",AL-MARAGOGI,1,AL-MARAGOGI,1698,270450, AL,MARAGOGI,MARAGOGI,-35.2208449,-9.0103626
4869,270460,MARAVILHA,AL,"0,569","0,539","0,742","0,460",AL-MARAVILHA,1,AL-MARAVILHA,1699,270460, AL,MARAVILHA,MARAVILHA,-53.1745281,-26.7650048
3254,270470,MARECHAL DEODORO,AL,"0,642","0,641","0,793","0,520",AL-MARECHAL DEODORO,1,AL-MARECHAL DEODORO,1700,270470, AL,MARECHAL DEODORO,MARECHAL DEODORO,-35.8510861,-9.7669574
4215,270480,MARIBONDO,AL,"0,597","0,581","0,751","0,487",AL-MARIBONDO,1,AL-MARIBONDO,1701,270480, AL,MARIBONDO,MARIBONDO,-36.3058392,-9.5773909
