MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
 MG-SÃO JOSÉ DA BARRA,2982,316294, MG,SÃO JOSÉ DA BARRA,SÃO JOSÉ DA BARRA,-62.1688572,-12.607055
 MG-SÃO JOSÉ DA LAPA,2983,316295, MG,SÃO JOSÉ DA LAPA,SÃO JOSÉ DA LAPA,-62.1688572,-12.607055
 MG-SÃO JOSÉ DA SAFIRA,2984,316300, MG,SÃO JOSÉ DA SAFIRA,SÃO JOSÉ DA SAFIRA,-62.1688572,-12.607055
 MG-SÃO JOSÉ DA VARGINHA,2985,316310, MG,SÃO JOSÉ DA VARGINHA,SÃO JOSÉ DA VARGINHA,-62.1688572,-12.607055
 MG-SÃO JOSÉ DO ALEGRE,2986,316320, MG,SÃO JOSÉ DO ALEGRE,SÃO JOSÉ DO ALEGRE,-62.1688572,-12.607055
 MG-SÃO JOSÉ DO DIVINO,2987,316330, MG,SÃO JOSÉ DO DIVINO,SÃO JOSÉ DO DIVINO,-62.1688572,-12.607055
 MG-SÃO JOSÉ DO GOIABAL,2988,316340, MG,SÃO JOSÉ DO GOIABAL,SÃO JOSÉ DO GOIABAL,-62.1688572,-12.607055
 MG-SÃO JOSÉ DO JACURI,2989,316350, MG,SÃO JOSÉ DO JACURI,SÃO JOSÉ DO JACURI,-62.1688572,-12.607055
 MG-SÃO JOSÉ DO MANTIMENTO,2990,316360, MG,SÃO JOSÉ DO MANTIMENTO,SÃO JOSÉ DO MANTIMENTO,-62.1688572,-12.607055
 MG-SÃO LOURENÇO,2991,316370, MG,SÃO LOURENÇO,SÃO LOURENÇO,-62.1688572,-12.607055
 MG-SÃO MIGUEL DO ANTA,2992,316380, MG,SÃO MIGUEL DO ANTA,SÃO MIGUEL DO ANTA,-62.1688572,-12.607055
 MG-SÃO PEDRO DA UNIÃO,2993,316390, MG,SÃO PEDRO DA UNIÃO,SÃO PEDRO DA UNIÃO,-62.1688572,-12.607055
 MG-SÃO PEDRO DOS FERROS,2994,316400, MG,SÃO PEDRO DOS FERROS,SÃO PEDRO DOS FERROS,-62.1688572,-12.607055
 MG-SÃO PEDRO DO SUAÇUÍ,2995,316410, MG,SÃO PEDRO DO SUAÇUÍ,SÃO PEDRO DO SUAÇUÍ,-62.1688572,-12.607055
 MG-SÃO ROMÃO,2996,316420, MG,SÃO ROMÃO,SÃO ROMÃO,-62.1688572,-12.607055
 MG-SÃO ROQUE DE MINAS,2997,316430, MG,SÃO ROQUE DE MINAS,SÃO ROQUE DE MINAS,-62.1688572,-12.607055
 MG-SÃO SEBASTIÃO DA BELA VISTA,2998,316440, MG,SÃO SEBASTIÃO DA BELA VISTA,SÃO SEBASTIÃO DA BELA VISTA,-62.1688572,-12.607055
 MG-SÃO SEBASTIÃO DA VARGEM ALEGRE,2999,316443, MG,SÃO SEBASTIÃO DA VARGEM ALEGRE,SÃO SEBASTIÃO DA VARGEM ALEGRE,-62.1688572,-12.607055
 MG-SÃO SEBASTIÃO DO ANTA,3000,316447, MG,SÃO SEBASTIÃO DO ANTA,SÃO SEBASTIÃO DO ANTA,-62.1688572,-12.607055
 MG-SÃO SEBASTIÃO DO MARANHÃO,3001,316450, MG,SÃO SEBASTIÃO DO MARANHÃO,SÃO SEBASTIÃO DO MARANHÃO,-62.1688572,-12.607055
 MG-SÃO SEBASTIÃO DO OESTE,3002,316460, MG,SÃO SEBASTIÃO DO OESTE,SÃO SEBASTIÃO DO OESTE,-62.1688572,-12.607055
 MG-SÃO SEBASTIÃO DO PARAÍSO,3003,316470, MG,SÃO SEBASTIÃO DO PARAÍSO,SÃO SEBASTIÃO DO PARAÍSO,-62.1688572,-12.607055
 MG-SÃO SEBASTIÃO DO RIO PRETO,3004,316480, MG,SÃO SEBASTIÃO DO RIO PRETO,SÃO SEBASTIÃO DO RIO PRETO,-62.1688572,-12.607055
 MG-SÃO SEBASTIÃO DO RIO VERDE,3005,316490, MG,SÃO SEBASTIÃO DO RIO VERDE,SÃO SEBASTIÃO DO RIO VERDE,-62.1688572,-12.607055
 MG-SÃO TIAGO,3006,316500, MG,SÃO TIAGO,SÃO TIAGO,-62.1688572,-12.607055
 MG-SÃO TOMÁS DE AQUINO,3007,316510, MG,SÃO TOMÁS DE AQUINO,SÃO TOMÁS DE AQUINO,-62.1688572,-12.607055
 MG-SÃO THOMÉ DAS LETRAS,3008,316520, MG,SÃO THOMÉ DAS LETRAS,SÃO THOMÉ DAS LETRAS,-62.1688572,-12.607055
 MG-SÃO VICENTE DE MINAS,3009,316530, MG,SÃO VICENTE DE MINAS,SÃO VICENTE DE MINAS,-62.1688572,-12.607055
 MG-SAPUCAÍ-MIRIM,3010,316540, MG,SAPUCAÍ-MIRIM,SAPUCAÍ-MIRIM,-62.1688572,-12.607055
 MG-SARDOÁ,3011,316550, MG,SARDOÁ,SARDOÁ,-62.1688572,-12.607055
 MG-SARZEDO,3012,316553, MG,SARZEDO,SARZEDO,-62.1688572,-12.607055
 MG-SETUBINHA,3013,316555, MG,SETUBINHA,SETUBINHA,-62.1688572,-12.607055
 MG-SEM-PEIXE,3014,316556, MG,SEM-PEIXE,SEM-PEIXE,-62.1688572,-12.607055
 MG-SENADOR AMARAL,3015,316557, MG,SENADOR AMARAL,SENADOR AMARAL,-62.1688572,-12.607055
 MG-SENADOR CORTES,3016,316560, MG,SENADOR CORTES,SENADOR CORTES,-62.1688572,-12.607055
 MG-SENADOR FIRMINO,3017,316570, MG,SENADOR FIRMINO,SENADOR FIRMINO,-62.1688572,-12.607055
 MG-SENADOR JOSÉ BENTO,3018,316580, MG,SENADOR JOSÉ BENTO,SENADOR JOSÉ BENTO,-62.1688572,-12.607055
 MG-SENADOR MODESTINO GONÇALVES,3019,316590, MG,SENADOR MODESTINO GONÇALVES,SENADOR MODESTINO GONÇALVES,-62.1688572,-12.607055
 MG-SENHORA DE OLIVEIRA,3020,316600, MG,SENHORA DE OLIVEIRA,SENHORA DE OLIVEIRA,-62.1688572,-12.607055
 MG-SENHORA DO PORTO,3021,316610, MG,SENHORA DO PORTO,SENHORA DO PORTO,-62.1688572,-12.607055
 MG-SENHORA DOS REMÉDIOS,3022,316620, MG,SENHORA DOS REMÉDIOS,SENHORA DOS REMÉDIOS,-62.1688572,-12.607055
 MG-SERICITA,3023,316630, MG,SERICITA,SERICITA,-62.1688572,-12.607055
 MG-SERITINGA,3024,316640, MG,SERITINGA,SERITINGA,-62.1688572,-12.607055
 MG-SERRA AZUL DE MINAS,3025,316650, MG,SERRA AZUL DE MINAS,SERRA AZUL DE MINAS,-62.1688572,-12.607055
 MG-SERRA DA SAUDADE,3026,316660, MG,SERRA DA SAUDADE,SERRA DA SAUDADE,-62.1688572,-12.607055
 MG-SERRA DOS AIMORÉS,3027,316670, MG,SERRA DOS AIMORÉS,SERRA DOS AIMORÉS,-62.1688572,-12.607055
 MG-SERRA DO SALITRE,3028,316680, MG,SERRA DO SALITRE,SERRA DO SALITRE,-62.1688572,-12.607055
 MG-SERRANIA,3029,316690, MG,SERRANIA,SERRANIA,-62.1688572,-12.607055
 MG-SERRANÓPOLIS DE MINAS,3030,316695, MG,SERRANÓPOLIS DE MINAS,SERRANÓPOLIS DE MINAS,-62.1688572,-12.607055
 MG-SERRANOS,3031,316700, MG,SERRANOS,SERRANOS,-62.1688572,-12.607055
 MG-SERRO,3032,316710, MG,SERRO,SERRO,-62.1688572,-12.607055
 MG-SETE LAGOAS,3033,316720, MG,SETE LAGOAS,SETE LAGOAS,-62.1688572,-12.607055
 MG-SILVEIRÂNIA,3034,316730, MG,SILVEIRÂNIA,SILVEIRÂNIA,-62.1688572,-12.607055
 MG-SILVIANÓPOLIS,3035,316740, MG,SILVIANÓPOLIS,SILVIANÓPOLIS,-62.1688572,-12.607055
 MG-SIMÃO PEREIRA,3036,316750, MG,SIMÃO PEREIRA,SIMÃO PEREIRA,-62.1688572,-12.607055
 MG-SIMONÉSIA,3037,316760, MG,SIMONÉSIA,SIMONÉSIA,-62.1688572,-12.607055
 MG-SOBRÁLIA,3038,316770, MG,SOBRÁLIA,SOBRÁLIA,-62.1688572,-12.607055
 MG-SOLEDADE DE MINAS,3039,316780, MG,SOLEDADE DE MINAS,SOLEDADE DE MINAS,-62.1688572,-12.607055
 MG-TABULEIRO,3040,316790, MG,TABULEIRO,TABULEIRO,-62.1688572,-12.607055
 MG-TAIOBEIRAS,3041,316800, MG,TAIOBEIRAS,TAIOBEIRAS,-62.1688572,-12.607055
 MG-TAPARUBA,3042,316805, MG,TAPARUBA,TAPARUBA,-62.1688572,-12.607055
 MG-TAPIRA,3043,316810, MG,TAPIRA,TAPIRA,-62.1688572,-12.607055
 MG-TAPIRAÍ,3044,316820, MG,TAPIRAÍ,TAPIRAÍ,-62.1688572,-12.607055
 MG-TAQUARAÇU DE MINAS,3045,316830, MG,TAQUARAÇU DE MINAS,TAQUARAÇU DE MINAS,-62.1688572,-12.607055
 MG-TARUMIRIM,3046,316840, MG,TARUMIRIM,TARUMIRIM,-62.1688572,-12.607055
 MG-TEIXEIRAS,3047,316850, MG,TEIXEIRAS,TEIXEIRAS,-62.1688572,-12.607055
 MG-TEÓFILO OTONI,3048,316860, MG,TEÓFILO OTONI,TEÓFILO OTONI,-62.1688572,-12.607055
 MG-TIMÓTEO,3049,316870, MG,TIMÓTEO,TIMÓTEO,-62.1688572,-12.607055
 MG-TIRADENTES,3050,316880, MG,TIRADENTES,TIRADENTES,-62.1688572,-12.607055
 MG-TIROS,3051,316890, MG,TIROS,TIROS,-62.1688572,-12.607055
 MG-TOCANTINS,3052,316900, MG,TOCANTINS,TOCANTINS,-62.1688572,-12.607055
 MG-TOCOS DO MOJI,3053,316905, MG,TOCOS DO MOJI,TOCOS DO MOJI,-62.1688572,-12.607055
 MG-TOLEDO,3054,316910, MG,TOLEDO,TOLEDO,-62.1688572,-12.607055
 MG-TOMBOS,3055,316920, MG,TOMBOS,TOMBOS,-62.1688572,-12.607055
 MG-TRÊS CORAÇÕES,3056,316930, MG,TRÊS CORAÇÕES,TRÊS CORAÇÕES,-62.1688572,-12.607055
 MG-TRÊS MARIAS,3057,316935, MG,TRÊS MARIAS,TRÊS MARIAS,-62.1688572,-12.607055
 MG-TRÊS PONTAS,3058,316940, MG,TRÊS PONTAS,TRÊS PONTAS,-62.1688572,-12.607055
 MG-TUMIRITINGA,3059,316950, MG,TUMIRITINGA,TUMIRITINGA,-62.1688572,-12.607055
 MG-TUPACIGUARA,3060,316960, MG,TUPACIGUARA,TUPACIGUARA,-62.1688572,-12.607055
 MG-TURMALINA,3061,316970, MG,TURMALINA,TURMALINA,-62.1688572,-12.607055
 MG-TURVOLÂNDIA,3062,316980, MG,TURVOLÂNDIA,TURVOLÂNDIA,-62.1688572,-12.607055
 MG-UBÁ,3063,316990, MG,UBÁ,UBÁ,-62.1688572,-12.607055
 MG-UBAÍ,3064,317000, MG,UBAÍ,UBAÍ,-62.1688572,-12.607055
 MG-UBAPORANGA,3065,317005, MG,UBAPORANGA,UBAPORANGA,-62.1688572,-12.607055
 MG-UBERABA,3066,317010, MG,UBERABA,UBERABA,-62.1688572,-12.607055
 MG-UBERLÂNDIA,3067,317020, MG,UBERLÂNDIA,UBERLÂNDIA,-62.1688572,-12.607055
 MG-UMBURATIBA,3068,317030, MG,UMBURATIBA,UMBURATIBA,-62.1688572,-12.607055
 MG-UNAÍ,3069,317040, MG,UNAÍ,UNAÍ,-62.1688572,-12.607055
 MG-UNIÃO DE MINAS,3070,317043, MG,UNIÃO DE MINAS,UNIÃO DE MINAS,-62.1688572,-12.607055
 MG-URUANA DE MINAS,3071,317047, MG,URUANA DE MINAS,URUANA DE MINAS,-62.1688572,-12.607055
 MG-URUCÂNIA,3072,317050, MG,URUCÂNIA,URUCÂNIA,-62.1688572,-12.607055
 MG-URUCUIA,3073,317052, MG,URUCUIA,URUCUIA,-62.1688572,-12.607055
 MG-VARGEM ALEGRE,3074,317057, MG,VARGEM ALEGRE,VARGEM ALEGRE,-62.1688572,-12.607055
 MG-VARGEM BONITA,3075,317060, MG,VARGEM BONITA,VARGEM BONITA,-62.1688572,-12.607055
 MG-VARGEM GRANDE DO RIO PARDO,3076,317065, MG,VARGEM GRANDE DO RIO PARDO,VARGEM GRANDE DO RIO PARDO,-62.1688572,-12.607055
 MG-VARGINHA,3077,317070, MG,VARGINHA,VARGINHA,-62.1688572,-12.607055
 MG-VARJÃO DE MINAS,3078,317075, MG,VARJÃO DE MINAS,VARJÃO DE MINAS,-62.1688572,-12.607055
 MG-VÁRZEA DA PALMA,3079,317080, MG,VÁRZEA DA PALMA,VÁRZEA DA PALMA,-62.1688572,-12.607055
 MG-VARZELÂNDIA,3080,317090, MG,VARZELÂNDIA,VARZELÂNDIA,-62.1688572,-12.607055
 MG-VAZANTE,3081,317100, MG,VAZANTE,VAZANTE,-62.1688572,-12.607055
 MG-VERDELÂNDIA,3082,317103, MG,VERDELÂNDIA,VERDELÂNDIA,-62.1688572,-12.607055
 MG-VEREDINHA,3083,317107, MG,VEREDINHA,VEREDINHA,-62.1688572,-12.607055
 MG-VERÍSSIMO,3084,317110, MG,VERÍSSIMO,VERÍSSIMO,-62.1688572,-12.607055
 MG-VERMELHO NOVO,3085,317115, MG,VERMELHO NOVO,VERMELHO NOVO,-62.1688572,-12.607055
 MG-VESPASIANO,3086,317120, MG,VESPASIANO,VESPASIANO,-62.1688572,-12.607055
 MG-VIÇOSA,3087,317130, MG,VIÇOSA,VIÇOSA,-62.1688572,-12.607055
 MG-VIEIRAS,3088,317140, MG,VIEIRAS,VIEIRAS,-62.1688572,-12.607055
 MG-MATHIAS LOBATO,3089,317150, MG,MATHIAS LOBATO,MATHIAS LOBATO,-62.1688572,-12.607055
 MG-VIRGEM DA LAPA,3090,317160, MG,VIRGEM DA LAPA,VIRGEM DA LAPA,-62.1688572,-12.607055
 MG-VIRGÍNIA,3091,317170, MG,VIRGÍNIA,VIRGÍNIA,-62.1688572,-12.607055
 MG-VIRGINÓPOLIS,3092,317180, MG,VIRGINÓPOLIS,VIRGINÓPOLIS,-62.1688572,-12.607055
 MG-VIRGOLÂNDIA,3093,317190, MG,VIRGOLÂNDIA,VIRGOLÂNDIA,-62.1688572,-12.607055
 MG-VISCONDE DO RIO BRANCO,3094,317200, MG,VISCONDE DO RIO BRANCO,VISCONDE DO RIO BRANCO,-62.1688572,-12.607055
 MG-VOLTA GRANDE,3095,317210, MG,VOLTA GRANDE,VOLTA GRANDE,-62.1688572,-12.607055
 MG-WENCESLAU BRAZ,3096,317220, MG,WENCESLAU BRAZ,WENCESLAU BRAZ,-62.1688572,-12.607055
 ES-AFONSO CLÁUDIO,3097,320010, ES,AFONSO CLÁUDIO,AFONSO CLÁUDIO,-62.1688572,-12.607055
 ES-ÁGUIA BRANCA,3098,320013, ES,ÁGUIA BRANCA,ÁGUIA BRANCA,-62.1688572,-12.607055
 ES-ÁGUA DOCE DO NORTE,3099,320016, ES,ÁGUA DOCE DO NORTE,ÁGUA DOCE DO NORTE,-62.1688572,-12.607055
 ES-ALEGRE,3100,320020, ES,ALEGRE,ALEGRE,-62.1688572,-12.607055
 ES-ALFREDO CHAVES,3101,320030, ES,ALFREDO CHAVES,ALFREDO CHAVES,-62.1688572,-12.607055
 ES-ALTO RIO NOVO,3102,320035, ES,ALTO RIO NOVO,ALTO RIO NOVO,-62.1688572,-12.607055
 ES-ANCHIETA,3103,320040, ES,ANCHIETA,ANCHIETA,-62.1688572,-12.607055
 ES-APIACÁ,3104,320050, ES,APIACÁ,APIACÁ,-62.1688572,-12.607055
 ES-ARACRUZ,3105,320060, ES,ARACRUZ,ARACRUZ,-62.1688572,-12.607055
 ES-ATILIO VIVACQUA,3106,320070, ES,ATILIO VIVACQUA,ATILIO VIVACQUA,-62.1688572,-12.607055
 ES-BAIXO GUANDU,3107,320080, ES,BAIXO GUANDU,BAIXO GUANDU,-62.1688572,-12.607055
 ES-BARRA DE SÃO FRANCISCO,3108,320090, ES,BARRA DE SÃO FRANCISCO,BARRA DE SÃO FRANCISCO,-62.1688572,-12.607055
 ES-BOA ESPERANÇA,3109,320100, ES,BOA ESPERANÇA,BOA ESPERANÇA,-62.1688572,-12.607055
 ES-BOM JESUS DO NORTE,3110,320110, ES,BOM JESUS DO NORTE,BOM JESUS DO NORTE,-62.1688572,-12.607055
 ES-BREJETUBA,3111,320115, ES,BREJETUBA,BREJETUBA,-62.1688572,-12.607055
 ES-CACHOEIRO DE ITAPEMIRIM,3112,320120, ES,CACHOEIRO DE ITAPEMIRIM,CACHOEIRO DE ITAPEMIRIM,-62.1688572,-12.607055
 ES-CARIACICA,3113,320130, ES,CARIACICA,CARIACICA,-62.1688572,-12.607055
 ES-CASTELO,3114,320140, ES,CASTELO,CASTELO,-62.1688572,-12.607055
 ES-COLATINA,3115,320150, ES,COLATINA,COLATINA,-62.1688572,-12.607055
 ES-CONCEIÇÃO DA BARRA,3116,320160, ES,CONCEIÇÃO DA BARRA,CONCEIÇÃO DA BARRA,-62.1688572,-12.607055
 ES-CONCEIÇÃO DO CASTELO,3117,320170, ES,CONCEIÇÃO DO CASTELO,CONCEIÇÃO DO CASTELO,-62.1688572,-12.607055
 ES-DIVINO DE SÃO LOURENÇO,3118,320180, ES,DIVINO DE SÃO LOURENÇO,DIVINO DE SÃO LOURENÇO,-62.1688572,-12.607055
 ES-DOMINGOS MARTINS,3119,320190, ES,DOMINGOS MARTINS,DOMINGOS MARTINS,-62.1688572,-12.607055
 ES-DORES DO RIO PRETO,3120,320200, ES,DORES DO RIO PRETO,DORES DO RIO PRETO,-62.1688572,-12.607055
 ES-ECOPORANGA,3121,320210, ES,ECOPORANGA,ECOPORANGA,-62.1688572,-12.607055
 ES-FUNDÃO,3122,320220, ES,FUNDÃO,FUNDÃO,-62.1688572,-12.607055
 ES-GOVERNADOR LINDENBERG,3123,320225, ES,GOVERNADOR LINDENBERG,GOVERNADOR LINDENBERG,-62.1688572,-12.607055
 ES-GUAÇUÍ,3124,320230, ES,GUAÇUÍ,GUAÇUÍ,-62.1688572,-12.607055
 ES-GUARAPARI,3125,320240, ES,GUARAPARI,GUARAPARI,-62.1688572,-12.607055
 ES-IBATIBA,3126,320245, ES,IBATIBA,IBATIBA,-62.1688572,-12.607055
 ES-IBIRAÇU,3127,320250, ES,IBIRAÇU,IBIRAÇU,-62.1688572,-12.607055
 ES-IBITIRAMA,3128,320255, ES,IBITIRAMA,IBITIRAMA,-62.1688572,-12.607055
 ES-ICONHA,3129,320260, ES,ICONHA,ICONHA,-62.1688572,-12.607055
 ES-IRUPI,3130,320265, ES,IRUPI,IRUPI,-62.1688572,-12.607055
 ES-ITAGUAÇU,3131,320270, ES,ITAGUAÇU,ITAGUAÇU,-62.1688572,-12.607055
 ES-ITAPEMIRIM,3132,320280, ES,ITAPEMIRIM,ITAPEMIRIM,-62.1688572,-12.607055
 ES-ITARANA,3133,320290, ES,ITARANA,ITARANA,-62.1688572,-12.607055
 ES-IÚNA,3134,320300, ES,IÚNA,IÚNA,-62.1688572,-12.607055
 ES-JAGUARÉ,3135,320305, ES,JAGUARÉ,JAGUARÉ,-62.1688572,-12.607055
 ES-JERÔNIMO MONTEIRO,3136,320310, ES,JERÔNIMO MONTEIRO,JERÔNIMO MONTEIRO,-62.1688572,-12.607055
 ES-JOÃO NEIVA,3137,320313, ES,JOÃO NEIVA,JOÃO NEIVA,-62.1688572,-12.607055
 ES-LARANJA DA TERRA,3138,320316, ES,LARANJA DA TERRA,LARANJA DA TERRA,-62.1688572,-12.607055
 ES-LINHARES,3139,320320, ES,LINHARES,LINHARES,-62.1688572,-12.607055
 ES-MANTENÓPOLIS,3140,320330, ES,MANTENÓPOLIS,MANTENÓPOLIS,-62.1688572,-12.607055
 ES-MARATAÍZES,3141,320332, ES,MARATAÍZES,MARATAÍZES,-62.1688572,-12.607055
 ES-MARECHAL FLORIANO,3142,320334, ES,MARECHAL FLORIANO,MARECHAL FLORIANO,-62.1688572,-12.607055
 ES-MARILÂNDIA,3143,320335, ES,MARILÂNDIA,MARILÂNDIA,-62.1688572,-12.607055
 ES-MIMOSO DO SUL,3144,320340, ES,MIMOSO DO SUL,MIMOSO DO SUL,-62.1688572,-12.607055
 ES-MONTANHA,3145,320350, ES,MONTANHA,MONTANHA,-62.1688572,-12.607055
 ES-MUCURICI,3146,320360, ES,MUCURICI,MUCURICI,-62.1688572,-12.607055
 ES-MUNIZ FREIRE,3147,320370, ES,MUNIZ FREIRE,MUNIZ FREIRE,-62.1688572,-12.607055
 ES-MUQUI,3148,320380, ES,MUQUI,MUQUI,-62.1688572,-12.607055
 ES-NOVA VENÉCIA,3149,320390, ES,NOVA VENÉCIA,NOVA VENÉCIA,-62.1688572,-12.607055
 ES-PANCAS,3150,320400, ES,PANCAS,PANCAS,-62.1688572,-12.607055
 ES-PEDRO CANÁRIO,3151,320405, ES,PEDRO CANÁRIO,PEDRO CANÁRIO,-62.1688572,-12.607055
 ES-PINHEIROS,3152,320410, ES,PINHEIROS,PINHEIROS,-62.1688572,-12.607055
 ES-PIÚMA,3153,320420, ES,PIÚMA,PIÚMA,-62.1688572,-12.607055
 ES-PONTO BELO,3154,320425, ES,PONTO BELO,PONTO BELO,-62.1688572,-12.607055
 ES-PRESIDENTE KENNEDY,3155,320430, ES,PRESIDENTE KENNEDY,PRESIDENTE KENNEDY,-62.1688572,-12.607055
 ES-RIO BANANAL,3156,320435, ES,RIO BANANAL,RIO BANANAL,-62.1688572,-12.607055
 ES-RIO NOVO DO SUL,3157,320440, ES,RIO NOVO DO SUL,RIO NOVO DO SUL,-62.1688572,-12.607055
 ES-SANTA LEOPOLDINA,3158,320450, ES,SANTA LEOPOLDINA,SANTA LEOPOLDINA,-62.1688572,-12.607055
 ES-SANTA MARIA DE JETIBÁ,3159,320455, ES,SANTA MARIA DE JETIBÁ,SANTA MARIA DE JETIBÁ,-62.1688572,-12.607055
 ES-SANTA TERESA,3160,320460, ES,SANTA TERESA,SANTA TERESA,-62.1688572,-12.607055
 ES-SÃO DOMINGOS DO NORTE,3161,320465, ES,SÃO DOMINGOS DO NORTE,SÃO DOMINGOS DO NORTE,-62.1688572,-12.607055
 ES-SÃO GABRIEL DA PALHA,3162,320470, ES,SÃO GABRIEL DA PALHA,SÃO GABRIEL DA PALHA,-62.1688572,-12.607055
 ES-SÃO JOSÉ DO CALÇADO,3163,320480, ES,SÃO JOSÉ DO CALÇADO,SÃO JOSÉ DO CALÇADO,-62.1688572,-12.607055
 ES-SÃO MATEUS,3164,320490, ES,SÃO MATEUS,SÃO MATEUS,-62.1688572,-12.607055
 ES-SÃO ROQUE DO CANAÃ,3165,320495, ES,SÃO ROQUE DO CANAÃ,SÃO ROQUE DO CANAÃ,-62.1688572,-12.607055
 ES-SERRA,3166,320500, ES,SERRA,SERRA,-62.1688572,-12.607055
 ES-SOORETAMA,3167,320501, ES,SOORETAMA,SOORETAMA,-62.1688572,-12.607055
 ES-VARGEM ALTA,3168,320503, ES,VARGEM ALTA,VARGEM ALTA,-62.1688572,-12.607055
 ES-VENDA NOVA DO IMIGRANTE,3169,320506, ES,VENDA NOVA DO IMIGRANTE,VENDA NOVA DO IMIGRANTE,-62.1688572,-12.607055
 ES-VIANA,3170,320510, ES,VIANA,VIANA,-62.1688572,-12.607055
 ES-VILA PAVÃO,3171,320515, ES,VILA PAVÃO,VILA PAVÃO,-62.1688572,-12.607055
 ES-VILA VALÉRIO,3172,320517, ES,VILA VALÉRIO,VILA VALÉRIO,-62.1688572,-12.607055
 ES-VILA VELHA,3173,320520, ES,VILA VELHA,VILA VELHA,-62.1688572,-12.607055
 ES-VITÓRIA,3174,320530, ES,VITÓRIA,VITÓRIA,-62.1688572,-12.607055
 RJ-ANGRA DOS REIS,3175,330010, RJ,ANGRA DOS REIS,ANGRA DOS REIS,-62.1688572,-12.607055
 RJ-APERIBÉ,3176,330015, RJ,APERIBÉ,APERIBÉ,-62.1688572,-12.607055
 RJ-ARARUAMA,3177,330020, RJ,ARARUAMA,ARARUAMA,-62.1688572,-12.607055
 RJ-AREAL,3178,330022, RJ,AREAL,AREAL,-62.1688572,-12.607055
 RJ-ARMAÇÃO DOS BÚZIOS,3179,330023, RJ,ARMAÇÃO DOS BÚZIOS,ARMAÇÃO DOS BÚZIOS,-62.1688572,-12.607055
 RJ-ARRAIAL DO CABO,3180,330025, RJ,ARRAIAL DO CABO,ARRAIAL DO CABO,-62.1688572,-12.607055
 RJ-BARRA DO PIRAÍ,3181,330030, RJ,BARRA DO PIRAÍ,BARRA DO PIRAÍ,-62.1688572,-12.607055
 RJ-BARRA MANSA,3182,330040, RJ,BARRA MANSA,BARRA MANSA,-62.1688572,-12.607055
 RJ-BELFORD ROXO,3183,330045, RJ,BELFORD ROXO,BELFORD ROXO,-62.1688572,-12.607055
 RJ-BOM JARDIM,3184,330050, RJ,BOM JARDIM,BOM JARDIM,-62.1688572,-12.607055
 RJ-BOM JESUS DO ITABAPOANA,3185,330060, RJ,BOM JESUS DO ITABAPOANA,BOM JESUS DO ITABAPOANA,-62.1688572,-12.607055
 RJ-CABO FRIO,3186,330070, RJ,CABO FRIO,CABO FRIO,-62.1688572,-12.607055
 RJ-CACHOEIRAS DE MACACU,3187,330080, RJ,CACHOEIRAS DE MACACU,CACHOEIRAS DE MACACU,-62.1688572,-12.607055
 RJ-CAMBUCI,3188,330090, RJ,CAMBUCI,CAMBUCI,-62.1688572,-12.607055
 RJ-CARAPEBUS,3189,330093, RJ,CARAPEBUS,CARAPEBUS,-62.1688572,-12.607055
 RJ-COMENDADOR LEVY GASPARIAN,3190,330095, RJ,COMENDADOR LEVY GASPARIAN,COMENDADOR LEVY GASPARIAN,-62.1688572,-12.607055
 RJ-CAMPOS DOS GOYTACAZES,3191,330100, RJ,CAMPOS DOS GOYTACAZES,CAMPOS DOS GOYTACAZES,-62.1688572,-12.607055
 RJ-CANTAGALO,3192,330110, RJ,CANTAGALO,CANTAGALO,-62.1688572,-12.607055
 RJ-CARDOSO MOREIRA,3193,330115, RJ,CARDOSO MOREIRA,CARDOSO MOREIRA,-62.1688572,-12.607055
 RJ-CARMO,3194,330120, RJ,CARMO,CARMO,-62.1688572,-12.607055
 RJ-CASIMIRO DE ABREU,3195,330130, RJ,CASIMIRO DE ABREU,CASIMIRO DE ABREU,-62.1688572,-12.607055
 RJ-CONCEIÇÃO DE MACABU,3196,330140, RJ,CONCEIÇÃO DE MACABU,CONCEIÇÃO DE MACABU,-62.1688572,-12.607055
 RJ-CORDEIRO,3197,330150, RJ,CORDEIRO,CORDEIRO,-62.1688572,-12.607055
 RJ-DUAS BARRAS,3198,330160, RJ,DUAS BARRAS,DUAS BARRAS,-62.1688572,-12.607055
 RJ-DUQUE DE CAXIAS,3199,330170, RJ,DUQUE DE CAXIAS,DUQUE DE CAXIAS,-62.1688572,-12.607055
 RJ-ENGENHEIRO PAULO DE FRONTIN,3200,330180, RJ,ENGENHEIRO PAULO DE FRONTIN,ENGENHEIRO PAULO DE FRONTIN,-62.1688572,-12.607055
 RJ-GUAPIMIRIM,3201,330185, RJ,GUAPIMIRIM,GUAPIMIRIM,-62.1688572,-12.607055
 RJ-IGUABA GRANDE,3202,330187, RJ,IGUABA GRANDE,IGUABA GRANDE,-62.1688572,-12.607055
 RJ-ITABORAÍ,3203,330190, RJ,ITABORAÍ,ITABORAÍ,-62.1688572,-12.607055
 RJ-ITAGUAÍ,3204,330200, RJ,ITAGUAÍ,ITAGUAÍ,-62.1688572,-12.607055
 RJ-ITALVA,3205,330205, RJ,ITALVA,ITALVA,-62.1688572,-12.607055
 RJ-ITAOCARA,3206,330210, RJ,ITAOCARA,ITAOCARA,-62.1688572,-12.607055
